Comparison,Level,Mean Diff,Var Diff,Rel Volatility Diff,KS Statistic,KS p-value,Wasserstein Distance
Train vs ID Test,Aggregate (Daily Sum),8165.88649126856,-181942.19428751618,-0.0017404381223270556,0.5042310946995923,5.189165934335426e-07,8165.8864912685585
Train vs OOD Test,Aggregate (Daily Sum),9885.100776982843,-6619947.141377449,-0.06540976510557094,0.5839487652896377,1.8576551414048685e-09,9885.100776982845
Train vs ID Test,SKU-level (Avg of Subsample),0.2605547862656102,-3.6246437209882885,,0.2070058337820858,,0.7847980485678384
Train vs OOD Test,SKU-level (Avg of Subsample),0.30805478626561017,-3.300607565785466,,0.20974040310793138,,0.7869153268200118
